Poll,Date,Sample,MoE,Obama (D),McCain (R),Spread
QuinnipiacQuinnipiac,8/12 - 8/17,1547 LV,2.5,47,42,Obama +5
BattlegroundBattleground,8/10 - 8/14,1000 LV,3.1,46,47,McCain +1
IBD/TIPPIBD/TIPP,8/4 - 8/9,856 RV,--,43,38,Obama +5
Pew ResearchPew Research,7/31 - 8/10,2414 RV,3.0,46,43,Obama +3
CBS NewsCBS News,7/31 - 8/5,906 RV,--,45,39,Obama +6
Gallup TrackingGallup Tracking,8/1 - 8/3,2659 RV,--,46,43,Obama +3
Rasmussen TrackingRasmussen Tracking,8/1 - 8/3,3000 LV,2.0,46,47,McCain +1
TimeTime,7/31 - 8/4,808 LV,3.5,46,41,Obama +5
AP-IpsosAP-Ipsos,7/31 - 8/4,833 RV,--,48,42,Obama +6
CNNCNN,7/27 - 7/29,914 RV,3.0,51,44,Obama +7
USA Today/GallupUSA Today/Gallup,7/25 - 7/27,791 LV,4.0,45,49,McCain +4
Pew ResearchPew Research,7/23 - 7/27,1241 RV,--,47,42,Obama +5
Democracy Corps (D)Democracy Corps (D),7/21 - 7/24,1004 LV,--,50,45,Obama +5
FOX NewsFOX News,7/22 - 7/23,900 RV,3.0,41,40,Obama +1
NBC News/Wall St. JrnlNBC News/Wall St. Jrnl,7/18 - 7/21,1003 RV,--,47,41,Obama +6
Gallup TrackingGallup Tracking,7/13 - 7/15,2638 RV,2.0,47,44,Obama +3
Rasmussen TrackingRasmussen Tracking,7/13 - 7/15,3000 LV,2.0,48,45,Obama +3
CBS News/NY TimesCBS News/NY Times,7/7 - 7/14,1462 RV,3.0,45,39,Obama +6
ABC News/Wash PostABC News/Wash Post,7/10 - 7/13,LV,--,49,46,Obama +3
Reuters/ZogbyReuters/Zogby,7/9 - 7/13,1039 LV,3.1,47,40,Obama +7
QuinnipiacQuinnipiac,7/8 - 7/13,1725 LV,2.4,50,41,Obama +9
IBD/TIPPIBD/TIPP,7/7 - 7/11,854 RV,--,40,37,Obama +3
NewsweekNewsweek,7/9 - 7/10,1037 RV,3.6,44,41,Obama +3
GallupGallup,6/30 - 7/2,2641 RV,2.0,47,43,Obama +4
RasmussenRasmussen,6/29 - 7/1,3000 LV,2.0,49,44,Obama +5
CNNCNN,6/26 - 6/29,906 RV,3.5,50,45,Obama +5
McLaughlin (R)McLaughlin (R),6/26 - 6/29,1000 LV,--,46,38,Obama +8
Pew ResearchPew Research,6/18 - 6/29,1574 RV,--,48,40,Obama +8
Democracy Corps (D)Democracy Corps (D),6/22 - 6/25,2000 LV,--,49,45,Obama +4
TimeTime,6/19 - 6/25,805 RV,3.5,47,43,Obama +4
LA Times/BloombergLA Times/Bloomberg,6/19 - 6/23,1115 RV,--,49,37,Obama +12
F&M/Hearst-ArgyleF&M/Hearst-Argyle,6/16 - 6/22,1501 RV,2.5,42,36,Obama +6
NewsweekNewsweek,6/18 - 6/19,896 RV,4.0,51,36,Obama +15
FOX NewsFOX News,6/17 - 6/18,900 RV,--,45,41,Obama +4
USA Today/GallupUSA Today/Gallup,6/15 - 6/19,1310 LV,--,50,44,Obama +6
ABC News/Wash PostABC News/Wash Post,6/12 - 6/15,RV,3.0,49,45,Obama +4
Cook/RT StrategiesCook/RT Strategies,6/12 - 6/15,880 RV,3.3,44,40,Obama +4
Reuters/ZogbyReuters/Zogby,6/12 - 6/14,1113 LV,3.0,47,42,Obama +5
IpsosIpsos,6/5 - 6/11,LV,--,50,43,Obama +7
RasmussenRasmussen,6/8 - 6/10,3000 LV,2.0,49,44,Obama +5
GallupGallup,6/7 - 6/9,2633 RV,2.0,48,41,Obama +7
NBC News/Wall St. JrnlNBC News/Wall St. Jrnl,6/6 - 6/9,1000 RV,3.1,47,41,Obama +6
Hotline/FDHotline/FD,6/5 - 6/8,806 RV,3.5,44,42,Obama +2
IBD/TIPPIBD/TIPP,6/2 - 6/8,916 RV,--,43,40,Obama +3
CNNCNN,6/4 - 6/5,921 RV,--,49,46,Obama +3
CBS NewsCBS News,5/30 - 6/3,930 RV,--,48,42,Obama +6
USA Today/GallupUSA Today/Gallup,5/30 - 6/1,803 RV,--,47,44,Obama +3
Cook/RT StrategiesCook/RT Strategies,5/29 - 5/31,802 RV,--,44,43,Obama +1
Pew ResearchPew Research,5/21 - 5/25,1242 RV,--,47,44,Obama +3
NewsweekNewsweek,5/21 - 5/22,1205 RV,--,46,46,Tie
Reuters/ZogbyReuters/Zogby,5/15 - 5/18,1076 LV,--,48,40,Obama +8
IBD/TIPPIBD/TIPP,5/12 - 5/18,953 A,3.2,48,37,Obama +11
RasmussenRasmussen,5/13 - 5/16,3000 LV,2.0,44,45,McCain +1
GallupGallup,5/12 - 5/16,4385 RV,2.0,44,47,McCain +3
Democracy Corps (D)Democracy Corps (D),5/13 - 5/15,1014 LV,--,48,46,Obama +2
BattlegroundBattleground,5/11 - 5/14,1018 LV,--,49,47,Obama +2
QuinnipiacQuinnipiac,5/8 - 5/12,1475 RV,2.4,47,40,Obama +7
ABC News/Wash PostABC News/Wash Post,5/8 - 5/11,1122 A,--,51,44,Obama +7
POS/GQRPOS/GQR,5/7 - 5/8,800 LV,--,48,43,Obama +5
LA Times/BloombergLA Times/Bloomberg,5/1 - 5/8,1986 RV,--,46,40,Obama +6
IpsosIpsos,4/30 - 5/4,755 RV,--,46,42,Obama +4
USA Today/GallupUSA Today/Gallup,5/1 - 5/3,803 LV,--,47,48,McCain +1
CBS News/NY TimesCBS News/NY Times,5/1 - 5/3,601 RV,4.0,51,40,Obama +11
Hotline/FDHotline/FD,4/30 - 5/3,803 RV,--,47,43,Obama +4
CNNCNN,4/28 - 4/30,906 RV,--,49,45,Obama +4
FOX NewsFOX News,4/28 - 4/29,900 RV,--,43,46,McCain +3
CBS News/NY TimesCBS News/NY Times,4/25 - 4/29,956 RV,--,45,45,Tie
NBC/WSJNBC/WSJ,4/25 - 4/28,1006 RV,--,46,43,Obama +3
RasmussenRasmussen,4/24 - 4/27,1600 LV,--,46,46,Tie
Pew ResearchPew Research,4/23 - 4/27,1323 RV,--,50,44,Obama +6
AP-IpsosAP-Ipsos,4/23 - 4/27,760 RV,--,46,44,Obama +2
NewsweekNewsweek,4/24 - 4/25,1203 RV,--,47,44,Obama +3
USA Today/GallupUSA Today/Gallup,4/18 - 4/20,1016 A,--,47,44,Obama +3
Cook/RT StrategiesCook/RT Strategies,4/17 - 4/20,802 RV,--,45,44,Obama +1
NewsweekNewsweek,4/16 - 4/17,1209 RV,--,48,44,Obama +4
Reuters/ZogbyReuters/Zogby,4/10 - 4/13,1049 LV,--,45,45,Tie
ABC/Wash PostABC/Wash Post,4/10 - 4/13,1197 A,--,49,44,Obama +5
RasmussenRasmussen,4/10 - 4/13,1600 LV,--,42,49,McCain +7
AP-IpsosAP-Ipsos,4/7 - 4/9,749 RV,--,45,45,Tie
GallupGallup,4/2 - 4/6,4380 RV,2.0,45,45,Tie
CBS News/NY TimesCBS News/NY Times,3/28 - 4/2,1196 RV,--,47,42,Obama +5
Hotline/FDHotline/FD,3/28 - 3/31,799 RV,--,44,46,McCain +2
RasmussenRasmussen,3/27 - 3/30,1600 LV,--,42,47,McCain +5
NBC/WSJNBC/WSJ,3/24 - 3/25,800 RV,--,44,42,Obama +2
Pew ResearchPew Research,3/19 - 3/22,"1,248 RV",--,49,43,Obama +6
FOX NewsFOX News,3/18 - 3/19,900 RV,--,43,44,McCain +1
CBS NewsCBS News,3/15 - 3/18,RV,--,48,43,Obama +5
CNNCNN,3/14 - 3/16,950 RV,--,47,46,Obama +1
USA Today/GallupUSA Today/Gallup,3/14 - 3/15,685 LV,--,49,47,Obama +2
Reuters/ZogbyReuters/Zogby,3/13 - 3/14,1004 LV,--,40,46,McCain +6
NBC/WSJNBC/WSJ,3/7 - 3/10,"1,012 RV",--,47,44,Obama +3
Cook/RT StrategiesCook/RT Strategies,3/6 - 3/9,802 RV,--,43,45,McCain +2
NewsweekNewsweek,3/5 - 3/6,"1,215 RV",--,46,45,Obama +1
ABC/Wash PostABC/Wash Post,2/28 - 3/2,LV,--,53,42,Obama +11
Cook/RT StrategiesCook/RT Strategies,2/28 - 3/2,802 RV,--,47,38,Obama +9
LA Times/BloombergLA Times/Bloomberg,2/21 - 2/25,RV,--,42,44,McCain +2
AP-IpsosAP-Ipsos,2/22 - 2/24,755 RV,--,51,41,Obama +10
USA Today/GallupUSA Today/Gallup,2/21 - 2/24,1653 LV,--,47,48,McCain +1
Pew ResearchPew Research,2/20 - 2/24,1240 RV,--,50,43,Obama +7
CBS News/NY TimesCBS News/NY Times,2/20 - 2/24,1115 RV,--,50,38,Obama +12
FOX NewsFOX News,2/19 - 2/20,900 RV,--,47,43,Obama +4
Hotline/FDHotline/FD,2/14 - 2/17,803 RV,--,48,40,Obama +8
Reuters/ZogbyReuters/Zogby,2/13 - 2/16,928 LV,--,47,40,Obama +7
USA Today/GallupUSA Today/Gallup,2/8 - 2/10,706 LV,--,50,46,Obama +4
AP-IpsosAP-Ipsos,2/7 - 2/10,"1,029 A",--,48,42,Obama +6
TimeTime,2/1 - 2/4,958 LV,--,48,41,Obama +7
CNNCNN,2/1 - 2/3,974 RV,--,52,44,Obama +8
Cook/RT StrategiesCook/RT Strategies,1/31 - 2/2,855 RV,--,45,43,Obama +2
ABC/Wash PostABC/Wash Post,1/30 - 2/1,1249 A,--,49,46,Obama +3
FOX NewsFOX News,1/30 - 1/31,900 RV,--,44,43,Obama +1
NPRNPR,1/29 - 1/31,1000 LV,--,47,48,McCain +1
RasmussenRasmussen,1/25 - 1/27,1200 LV,--,41,47,McCain +6
NBC/WSJNBC/WSJ,1/20 - 1/22,1008 A,--,42,42,Tie
LA Times/BloombergLA Times/Bloomberg,1/18 - 1/22,1312 RV,--,41,42,McCain +1
RasmussenRasmussen,1/16 - 1/17,800 LV,--,46,41,Obama +5
USA Today/GallupUSA Today/Gallup,1/10 - 1/13,1106 LV,--,45,50,McCain +5
Hotline/FDHotline/FD,1/10 - 1/12,803 RV,--,41,39,Obama +2
CNNCNN,1/9 - 1/10,840 RV,--,49,48,Obama +1
RasmussenRasmussen,1/4 - 1/6,800 LV,--,43,46,McCain +3
FOX NewsFOX News,12/18 - 12/19,900 RV,--,40,44,McCain +4
ZogbyZogby,12/12 - 12/14,1000 LV,--,47,43,Obama +4
CNNCNN,12/6 - 12/9,RV,--,48,48,Tie
RasmussenRasmussen,11/26 - 11/27,800 LV,--,44,44,Tie
RasmussenRasmussen,11/16 - 11/17,800 LV,--,46,43,Obama +3
GallupGallup,11/11 - 11/14,897 RV,--,47,44,Obama +3
QuinnipiacQuinnipiac,10/23 - 10/29,1636 RV,--,43,43,Tie
LA Times/BloombergLA Times/Bloomberg,10/19 - 10/22,522 RV,--,44,36,Obama +8
FOX NewsFOX News,9/25 - 9/26,900 RV,--,40,38,Obama +2
RasmussenRasmussen,9/19 - 9/20,800 LV,--,46,41,Obama +5
QuinnipiacQuinnipiac,8/7 - 8/13,1545 LV,--,43,39,Obama +4
RasmussenRasmussen,8/1 - 8/2,800 LV,--,46,40,Obama +6
FOX NewsFOX News,7/17 - 7/18,900 RV,--,47,37,Obama +10
RasmussenRasmussen,7/16 - 7/17,1029 LV,--,47,38,Obama +9
ZogbyZogby,7/12 - 7/14,1012 LV,--,45,42,Obama +3
CNNCNN,6/22 - 6/24,907 RV,--,48,44,Obama +4
NewsweekNewsweek,6/20 - 6/21,831 RV,--,51,41,Obama +10
RasmussenRasmussen,6/13 - 6/14,800 LV,--,46,38,Obama +8
USA Today/GallupUSA Today/Gallup,6/11 - 6/14,927 RV,--,48,46,Obama +2
QuinnipiacQuinnipiac,6/5 - 6/11,"1,711 RV",--,43,41,Obama +2
LA Times/BloombergLA Times/Bloomberg,6/7 - 6/10,1056 RV,--,47,35,Obama +12
ZogbyZogby,5/17 - 5/20,993 RV,--,46,43,Obama +3
Hotline/FDHotline/FD,5/16 - 5/20,800 RV,--,42,39,Obama +3
NewsweekNewsweek,5/2 - 5/3,831 RV,--,52,39,Obama +13
MaristMarist,4/26 - 5/1,823 RV,--,39,46,McCain +7
QuinnipiacQuinnipiac,4/25 - 5/1,1166 RV,--,42,42,Tie
Hotline/FDHotline/FD,4/26 - 4/30,801 RV,--,48,37,Obama +11
NBC/WSJNBC/WSJ,4/20 - 4/23,1004 A,--,45,39,Obama +6
RasmussenRasmussen,4/9 - 4/10,800 LV,--,48,42,Obama +6
TimeTime,4/5 - 4/9,1102 RV,--,47,42,Obama +5
LA Times/BloombergLA Times/Bloomberg,4/5 - 4/9,603 RV,--,48,40,Obama +8
TimeTime,3/23 - 3/26,1102 RV,--,43,45,McCain +2
RasmussenRasmussen,3/14 - 3/15,800 LV,--,44,44,Tie
TimeTime,3/9 - 3/12,1500 RV,--,44,41,Obama +3
American Res. GroupAmerican Res. Group,3/2 - 3/5,2104 LV,--,42,46,McCain +4
NewsweekNewsweek,2/28 - 3/1,1202 RV,--,45,43,Obama +2
TimeTime,2/23 - 2/26,1144 RV,--,46,42,Obama +4
ZogbyZogby,2/22 - 2/24,1078 LV,--,44,40,Obama +4
QuinnipiacQuinnipiac,2/13 - 2/19,1536 RV,--,43,43,Tie
MaristMarist,2/12 - 2/15,978 RV,--,41,44,McCain +3
USA Today/GallupUSA Today/Gallup,2/9 - 2/11,936 RV,--,48,48,Tie
RasmussenRasmussen,2/7 - 2/8,800 LV,--,44,44,Tie
NewsweekNewsweek,1/24 - 1/25,837 RV,--,48,42,Obama +6
TimeTime,1/22 - 1/23,1064 RV,--,42,49,McCain +7
ABC News/Wash PostABC News/Wash Post,1/16 - 1/19,1000 A,--,47,45,Obama +2
RasmussenRasmussen,1/17 - 1/18,800 LV,--,47,44,Obama +3
NewsweekNewsweek,1/17 - 1/18,1003 A,--,46,44,Obama +2
Hotline/FDHotline/FD,1/11 - 1/14,800 RV,--,38,43,McCain +5
BattlegroundBattleground,1/8 - 1/11,500 LV,--,39,51,McCain +12
IBD/TIPPIBD/TIPP,1/2 - 1/4,951 A,--,36,48,McCain +12
CNNCNN,12/15 - 12/17,1019 A,--,43,47,McCain +4
RasmussenRasmussen,12/12 - 12/13,1000 LV,--,40,46,McCain +6
NewsweekNewsweek,12/6 - 12/7,1000 A,--,43,45,McCain +2
FOX NewsFOX News,12/5 - 12/6,900 RV,--,30,49,McCain +19
RasmussenRasmussen,11/6 - 11/7,1000 LV,--,39,47,McCain +8
